;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:26:00;10.084.371;08:26:00;0.9975761;08:26:00;21;0;08:26:00;12;350;08:26:00;0;08:26:00;0
08:26:01;0.9981679;08:26:01;10.059.915;08:26:01;21;0;08:26:01;12;350;08:26:01;0;08:26:01;0
08:26:02;0.9994483;08:26:02;10.005.175;08:26:02;21;0;08:26:02;12;350;08:26:02;0;08:26:02;0
08:26:03;0.9983117;08:26:03;0.9989996;08:26:03;21;0;08:26:03;12;350;08:26:03;0;08:26:03;0
08:26:04;0.9986785;08:26:04;0.9991155;08:26:04;21;0;08:26:04;12;350;08:26:04;0;08:26:04;0
08:26:05;0.9992855;08:26:05;0.9996778;08:26:05;21;0;08:26:05;12;350;08:26:05;0;08:26:05;0
08:26:06;0.994574;08:26:06;0.9982374;08:26:06;21;0;08:26:06;12;350;08:26:06;0;08:26:06;0
08:26:07;10.046.374;08:26:07;10.040.806;08:26:07;21;0;08:26:07;12;150;08:26:07;0;08:26:07;0
08:26:08;1.002.987;08:26:08;0.998931;08:26:08;21;0;08:26:08;12;150;08:26:08;0;08:26:08;0
08:26:09;10.015.499;08:26:09;0.9959038;08:26:09;21;0;08:26:09;12;150;08:26:09;0;08:26:09;0
08:26:10;10.004.073;08:26:10;0.9995245;08:26:10;21;0;08:26:10;12;150;08:26:10;0;08:26:10;0
08:26:11;10.013.756;08:26:11;10.035.022;08:26:11;21;0;08:26:11;12;150;08:26:11;0;08:26:11;0
08:26:12;0.9991686;08:26:12;0.9987005;08:26:12;21;0;08:26:12;12;150;08:26:12;0;08:26:12;0
08:26:13;10.008.846;08:26:13;10.031.511;08:26:13;21;0;08:26:13;12;150;08:26:13;0;08:26:13;0
08:26:14;0.9990609;08:26:14;0.9987367;08:26:14;21;0;08:26:14;12;150;08:26:14;0;08:26:14;0
08:26:15;0.9953167;08:26:15;0.990475;08:26:15;21;0;08:26:15;12;150;08:26:15;0;08:26:15;0
08:26:16;10.015.774;08:26:16;0.9951012;08:26:16;21;0;08:26:16;12;150;08:26:16;0;08:26:16;0
08:26:17;1.004.584;08:26:17;10.151.272;08:26:17;21;0;08:26:17;12;150;08:26:17;0;08:26:17;0
08:26:18;0.9987349;08:26:18;10.002.225;08:26:18;21;0;08:26:18;12;150;08:26:18;0;08:26:18;0
08:26:19;0.9980787;08:26:19;0.9984842;08:26:19;21;0;08:26:19;12;150;08:26:19;0;08:26:19;0
08:26:20;0.999728;08:26:20;0.9932908;08:26:20;21;0;08:26:20;12;150;08:26:20;0;08:26:20;0
08:26:21;10.014.161;08:26:21;0.9997654;08:26:21;21;0;08:26:21;12;50;08:26:21;0;08:26:21;0
08:26:22;0.9986484;08:26:22;10.072.344;08:26:22;21;0;08:26:22;12;50;08:26:22;0;08:26:22;0
08:26:23;0.9965339;08:26:23;0.9984651;08:26:23;21;0;08:26:23;10;50;08:26:23;0;08:26:23;0
08:26:24;10.024.313;08:26:24;10.000.302;08:26:24;21;0;08:26:24;12;50;08:26:24;0;08:26:24;0
08:26:25;10.019.594;08:26:25;0.9972478;08:26:25;21;0;08:26:25;12;50;08:26:25;0;08:26:25;0
08:26:26;10.005.048;08:26:26;10.065.009;08:26:26;21;0;08:26:26;12;50;08:26:26;0;08:26:26;0
08:26:27;10.015.996;08:26:27;0.9967174;08:26:27;21;0;08:26:27;12;1;08:26:27;0;08:26:27;0
08:26:28;0.9994285;08:26:28;0.9971667;08:26:28;21;0;08:26:28;12;1;08:26:28;0;08:26:28;0
08:26:29;0.9989385;08:26:29;1.003.336;08:26:29;21;0;08:26:29;12;1;08:26:29;0;08:26:29;0
08:26:30;0.9998942;08:26:30;0.9980692;08:26:30;21;0;08:26:30;12;1;08:26:30;0;08:26:30;0
08:26:31;1.000.111;08:26:31;10.022.602;08:26:31;21;0;08:26:31;12;1;08:26:31;0;08:26:31;0
08:26:32;0.991107;08:26:32;0.9992764;08:26:32;21;0;08:26:32;12;1;08:26:32;0;08:26:32;0
08:26:33;0.998625;08:26:33;10.023.556;08:26:33;21;0;08:26:33;12;1;08:26:33;0;08:26:33;0
08:26:34;10.091.943;08:26:34;0.9992038;08:26:34;21;0;08:26:34;12;1;08:26:34;0;08:26:34;0
08:26:35;0.9985578;08:26:35;0.9986495;08:26:35;21;0;08:26:35;12;1;08:26:35;0;08:26:35;0
08:26:36;10.020.592;08:26:36;0.9998476;08:26:36;21;0;08:26:36;11;1;08:26:36;0;08:26:36;0
08:26:37;10.002.032;08:26:37;10.017.608;08:26:37;21;0;08:26:37;11;2;08:26:37;0;08:26:37;0
08:26:38;0.9958724;08:26:38;10.012.916;08:26:38;21;0;08:26:38;11;2;08:26:38;0;08:26:38;0
08:26:39;0.9997944;08:26:39;0.9975242;08:26:39;21;0;08:26:39;11;2;08:26:39;0;08:26:39;0
08:26:40;10.023.024;08:26:40;0.9970498;08:26:40;21;0;08:26:40;11;2;08:26:40;0;08:26:40;0
08:26:41;10.032.327;08:26:41;10.034.064;08:26:41;21;0;08:26:41;11;2;08:26:41;0;08:26:41;0
08:26:42;0.9953156;08:26:42;0.9962796;08:26:42;21;0;08:26:42;11;2;08:26:42;0;08:26:42;0
08:26:43;0.9954783;08:26:43;0.9975126;08:26:43;21;0;08:26:43;11;2;08:26:43;0;08:26:43;0
08:26:44;10.068.087;08:26:44;1.004.926;08:26:44;21;0;08:26:44;11;2;08:26:44;0;08:26:44;0
08:26:45;10.020.335;08:26:45;0.9989766;08:26:45;21;0;08:26:45;11;2;08:26:45;0;08:26:45;0
08:26:46;0.9932704;08:26:46;0.9937155;08:26:46;21;0;08:26:46;11;2;08:26:46;0;08:26:46;0
08:26:47;10.005.964;08:26:47;10.044.648;08:26:47;21;0;08:26:47;11;2;08:26:47;0;08:26:47;0
08:26:48;10.068.755;08:26:48;10.021.051;08:26:48;21;0;08:26:48;11;2;08:26:48;0;08:26:48;0
08:26:49;0.9993227;08:26:49;0.9914964;08:26:49;21;0;08:26:49;11;2;08:26:49;0;08:26:49;0
08:26:50;0.9998433;08:26:50;10.030.953;08:26:50;21;0;08:26:50;11;2;08:26:50;0;08:26:50;0
08:26:51;10.008.918;08:26:51;1.002.945;08:26:51;21;0;08:26:51;11;2;08:26:51;0;08:26:51;0
08:26:52;1.000.022;08:26:52;0.9957161;08:26:52;21;0;08:26:52;11;2;08:26:52;0;08:26:52;0
08:26:53;10.005.387;08:26:53;10.093.102;08:26:53;21;0;08:26:53;11;2;08:26:53;0;08:26:53;0
08:26:54;0.9996898;08:26:54;10.009.685;08:26:54;21;0;08:26:54;11;2;08:26:54;0;08:26:54;0
08:26:55;0.9955919;08:26:55;0.9992397;08:26:55;21;0;08:26:55;11;2;08:26:55;0;08:26:55;0
08:26:56;0.9968637;08:26:56;0.9972583;08:26:56;21;0;08:26:56;11;2;08:26:56;0;08:26:56;0
08:26:57;10.052.175;08:26:57;0.9984946;08:26:57;21;0;08:26:57;11;2;08:26:57;0;08:26:57;0
08:26:58;10.029.156;08:26:58;10.002.677;08:26:58;21;0;08:26:58;11;2;08:26:58;0;08:26:58;0
08:26:59;0.9988696;08:26:59;10.025.121;08:26:59;21;0;08:26:59;11;2;08:26:59;0;08:26:59;0
08:27:00;0.9989287;08:27:00;0.9994076;08:27:00;21;0;08:27:00;11;2;08:27:00;0;08:27:00;0
08:27:01;0.9952373;08:27:01;0.9969774;08:27:01;21;0;08:27:01;11;2;08:27:01;0;08:27:01;0
08:27:02;0.9964748;08:27:02;10.042.401;08:27:02;21;0;08:27:02;11;2;08:27:02;0;08:27:02;0
08:27:03;10.035.021;08:27:03;0.9995312;08:27:03;21;0;08:27:03;11;2;08:27:03;0;08:27:03;0
08:27:04;10.046.241;08:27:04;10.002.764;08:27:04;21;0;08:27:04;11;2;08:27:04;0;08:27:04;0
08:27:05;0.9975747;08:27:05;10.005.979;08:27:05;21;0;08:27:05;11;2;08:27:05;0;08:27:05;0
08:27:06;0.9954469;08:27:06;0.9992984;08:27:06;21;0;08:27:06;11;2;08:27:06;0;08:27:06;0
08:27:07;10.057.633;08:27:07;10.002.974;08:27:07;21;0;08:27:07;11;2;08:27:07;0;08:27:07;0
08:27:08;10.034.406;08:27:08;0.9995988;08:27:08;21;0;08:27:08;11;2;08:27:08;0;08:27:08;0
