;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
21:15:25;0.9994542;21:15:32;492.912.026;21:15:25;319;0;21:15:25;154;171;21:15:25;0;21:15:25;143.917.032
21:15:26;10.023.953;21:15:33;545.083.226;21:15:26;210;0;21:15:26;154;171;21:15:26;0;21:15:26;146.077.305
21:15:27;0.999832;21:15:34;503.890.242;21:15:27;210;0;21:15:27;154;174;21:15:27;0;21:15:27;150.013.612
21:15:28;0.9980439;21:15:35;510.008.759;21:15:28;210;0;21:15:28;154;174;21:15:28;0;21:15:28;140.980.801
21:15:29;10.003.276;21:15:36;512.100.107;21:15:29;210;0;21:15:29;231;174;21:15:29;0;21:15:29;141.016.606
21:15:30;0.9985825;21:15:37;483.997.946;21:15:30;210;0;21:15:30;232;237;21:15:30;0;21:15:30;143.970.681
21:15:31;10.018.974;21:15:38;481.914.442;21:15:31;210;0;21:15:31;231;237;21:15:31;0;21:15:31;151.028.176
21:15:32;10.008.901;21:15:39;479.070.827;21:15:32;210;0;21:15:32;211;237;21:15:32;0;21:15:32;144.003.928
21:15:33;0.9976501;21:15:40;540.015.233;21:15:33;210;0;21:15:33;211;237;21:15:33;0;21:15:33;140.000.116
21:15:34;0.9883621;21:15:41;490.611.682;21:15:34;210;0;21:15:34;212;237;21:15:34;0;21:15:34;142.983.224
21:15:35;0.9973987;21:15:42;465.450.711;21:15:35;172;0;21:15:35;211;237;21:15:35;0;21:15:35;140.132.568
21:15:36;10.127.667;21:15:43;507.935.666;21:15:36;111;0;21:15:36;211;237;21:15:36;0;21:15:36;144.811.007
21:15:37;10.009.483;21:15:44;484.621.054;21:15:37;71;0;21:15:37;212;237;21:15:37;0;21:15:37;141.059.225
21:15:38;10.024.222;21:15:45;483.455.605;21:15:38;11;0;21:15:38;211;237;21:15:38;0;21:15:38;138.010.282
21:15:39;0.9962532;21:15:46;517.928.465;21:15:39;11;0;21:15:39;211;237;21:15:39;0;21:15:39;150.992.948
21:15:40;10.051.119;21:15:47;553.912.863;21:15:40;11;0;21:15:40;212;237;21:15:40;0;21:15:40;150.009.313
21:15:41;0.9989411;21:15:48;520.083.781;21:15:41;11;0;21:15:41;31;350;21:15:41;0;21:15:41;15.098.137
21:15:42;0.9969845;21:15:49;522.001.807;21:15:42;11;0;21:15:42;31;350;21:15:42;0;21:15:42;140.995.292
21:15:43;10.021.465;21:15:50;471.915.428;21:15:43;11;0;21:15:43;31;350;21:15:43;0;21:15:43;146.022.257
21:15:44;10.009.717;21:15:51;460.077.502;21:15:44;11;0;21:15:44;31;350;21:15:44;0;21:15:44;139.003.514
21:15:45;10.005.348;21:15:52;486.977.426;21:15:45;11;0;21:15:45;32;350;21:15:45;0;21:15:45;139.991.636
21:15:46;10.002.109;21:15:53;495.943.572;21:15:46;11;0;21:15:46;31;350;21:15:46;0;21:15:46;140.994.145
21:15:47;0.9993725;21:15:54;463.066.244;21:15:47;11;0;21:15:47;31;350;21:15:47;0;21:15:47;144.942.261
21:15:48;0.9980909;21:15:55;497.102.051;21:15:48;11;0;21:15:48;32;350;21:15:48;0;21:15:48;149.198.328
21:15:49;0.997599;21:15:56;482.831.632;21:15:49;11;0;21:15:49;31;350;21:15:49;0;21:15:49;145.851.766
21:15:50;10.032.712;21:15:57;556.087.957;21:15:50;11;0;21:15:50;31;350;21:15:50;0;21:15:50;149.008.807
21:15:51;0.9995326;21:15:58;544.997.961;21:15:51;11;0;21:15:51;32;350;21:15:51;0;21:15:51;147.994.189
21:15:52;0.9985494;21:15:59;51.091.245;21:15:52;11;0;21:15:52;31;490;21:15:52;0;21:15:52;146.989.997
21:15:53;10.006.337;21:16:00;480.077.605;21:15:53;11;0;21:15:53;31;490;21:15:53;0;21:15:53;145.023.707
21:15:54;10.024.542;21:16:01;493.007.441;21:15:54;11;0;21:15:54;31;490;21:15:54;0;21:15:54;139.918.619
21:15:55;0.9989322;21:16:02;510.917.122;21:15:55;11;0;21:15:55;32;490;21:15:55;0;21:15:55;145.066.271
21:15:56;0.9977593;21:16:03;461.084.098;21:15:56;11;0;21:15:56;31;490;21:15:56;0;21:15:56;143.017.549
21:15:57;10.040.176;21:16:04;483.989.209;21:15:57;11;0;21:15:57;32;490;21:15:57;0;21:15:57;139.001.983
21:15:58;10.000.789;21:16:05;533.928.092;21:15:58;11;0;21:15:58;31;490;21:15:58;0;21:15:58;151.001.711
21:15:59;0.9998512;21:16:06;522.058.975;21:15:59;11;0;21:15:59;31;490;21:15:59;0;21:15:59;138.990.727
21:16:00;0.9985985;21:16:07;476.094.084;21:16:00;11;0;21:16:00;31;490;21:16:00;0;21:16:00;137.144.428
21:16:01;0.997433;21:16:08;500.836.095;21:16:01;11;0;21:16:01;31;490;21:16:01;0;21:16:01;145.841.094
21:16:02;10.021.212;21:16:09;494.093.668;21:16:02;11;0;21:16:02;31;490;21:16:02;0;21:16:02;143.861.317
21:16:03;0.9929416;21:16:10;551.003.167;21:16:03;11;0;21:16:03;32;490;21:16:03;0;21:16:03;149.124.974
21:16:04;0.9821981;21:16:11;498.917.373;21:16:04;11;0;21:16:04;31;490;21:16:04;0;21:16:04;149.957.457
21:16:05;10.232.221;21:16:12;521.081.082;21:16:05;11;0;21:16:05;31;490;21:16:05;0;21:16:05;147.064.858
21:16:06;10.022.302;21:16:13;534.991.101;21:16:06;11;0;21:16:06;31;490;21:16:06;0;21:16:06;138.012.225
21:16:07;0.9990873;21:16:14;319.923.705;21:16:07;11;0;21:16:07;31;490;21:16:07;0;21:16:07;137.990.094
21:16:08;0.9987769;21:16:15;197.250.696;21:16:08;11;0;21:16:08;31;490;21:16:08;0;21:16:08;146.284.565
21:16:09;10.025.217;21:16:16;15.198.052;21:16:09;11;0;21:16:09;32;490;21:16:09;0;21:16:09;1.318.306.197
21:16:10;0.9990556;21:16:17;0.9989374;21:16:10;11;0;21:16:10;31;490;21:16:10;0;21:16:10;0
21:16:11;10.018.371;21:16:18;0.9940365;21:16:11;11;0;21:16:11;31;490;21:16:11;0;21:16:11;0
21:16:12;0.999349;21:16:19;10.059.585;21:16:12;11;0;21:16:12;32;490;21:16:12;0;21:16:12;0
21:16:13;0.9976572;21:16:20;10.011.503;21:16:13;11;0;21:16:13;31;490;21:16:13;0;21:16:13;0
21:16:14;10.016.156;21:16:21;10.002.789;21:16:14;11;0;21:16:14;31;490;21:16:14;0;21:16:14;0
21:16:15;0.9963597;21:16:22;0.9998888;21:16:15;11;0;21:16:15;32;490;21:16:15;0;21:16:15;0
21:16:16;1.004.742;21:16:23;0.9990029;21:16:16;11;0;21:16:16;29;490;21:16:16;0;21:16:16;0
21:16:17;0.993804;21:16:24;10.008.055;21:16:17;11;0;21:16:17;29;490;21:16:17;0;21:16:17;0
21:16:18;0.9798881;21:16:25;0.999779;21:16:18;11;0;21:16:18;31;490;21:16:18;0;21:16:18;0
21:16:19;10.152.934;21:16:26;10.005.988;21:16:19;11;0;21:16:19;31;490;21:16:19;0;21:16:19;0
21:16:20;10.086.425;21:16:27;0.998456;21:16:20;11;0;21:16:20;31;490;21:16:20;0;21:16:20;0
21:16:21;10.009.766;21:16:28;0.9993356;21:16:21;11;0;21:16:21;31;490;21:16:21;0;21:16:21;0
21:16:22;0.9997044;21:16:29;10.016.704;21:16:22;11;0;21:16:22;31;490;21:16:22;0;21:16:22;0
21:16:23;10.013.486;21:16:30;0.9996069;21:16:23;11;0;21:16:23;31;490;21:16:23;0;21:16:23;0
21:16:24;10.004.887;21:16:31;0.9998526;21:16:24;11;0;21:16:24;31;490;21:16:24;0;21:16:24;0
21:16:25;0.9993154;21:16:32;10.008.076;21:16:25;11;0;21:16:25;31;490;21:16:25;0;21:16:25;0
21:16:26;10.005.286;21:16:33;1.000.039;21:16:26;11;0;21:16:26;31;490;21:16:26;0;21:16:26;0
21:16:27;10.006.189;21:16:34;10.002.288;21:16:27;11;0;21:16:27;31;490;21:16:27;0;21:16:27;0
21:16:28;0.9997791;21:16:35;0.9994156;21:16:28;11;0;21:16:28;31;490;21:16:28;0;21:16:28;0
21:16:29;0.9990702;21:16:36;10.004.314;21:16:29;11;0;21:16:29;31;490;21:16:29;0;21:16:29;0
21:16:30;0.9994486;21:16:37;10.005.196;21:16:30;11;0;21:16:30;31;490;21:16:30;0;21:16:30;0
21:16:31;0.9914613;21:16:38;0.9975044;21:16:31;11;0;21:16:31;31;490;21:16:31;0;21:16:31;0
21:16:32;0.9857116;21:16:39;10.018.679;;;;21:16:32;31;490;21:16:32;0;21:16:32;0
21:16:33;10.207.255;21:16:40;0.9997479;;;;21:16:33;31;334;21:16:33;0;21:16:33;0
21:16:34;10.030.861;21:16:41;1.000.458;;;;21:16:34;31;334;21:16:34;0;21:16:34;0
21:16:35;10.002.084;21:16:42;0.9909648;;;;21:16:35;31;334;21:16:35;0;21:16:35;0
21:16:36;0.9978096;21:16:43;10.081.915;;;;21:16:36;31;334;21:16:36;0;21:16:36;0
21:16:37;0.9915698;21:16:44;10.007.217;;;;21:16:37;31;334;21:16:37;0;21:16:37;0
21:16:38;10.016.537;21:16:45;10.008.207;;;;21:16:38;31;334;21:16:38;0;21:16:38;0
21:16:39;10.081.177;21:16:46;0.9989627;;;;21:16:39;31;334;21:16:39;0;21:16:39;0
21:16:40;10.004.693;21:16:47;0.9994971;;;;21:16:40;31;334;21:16:40;0;21:16:40;0
21:16:41;0.999501;21:16:48;0.999347;;;;21:16:41;31;334;21:16:41;0;21:16:41;0
21:16:42;0.999751;21:16:49;0.9974057;;;;21:16:42;31;334;21:16:42;0;21:16:42;0
21:16:43;10.002.071;21:16:50;10.038.187;;;;21:16:43;31;334;21:16:43;0;21:16:43;0
21:16:44;0.999813;21:16:51;10.005.787;;;;21:16:44;31;334;21:16:44;0;21:16:44;0
21:16:45;10.014.509;21:16:52;0.9997321;;;;21:16:45;31;334;21:16:45;0;21:16:45;0
21:16:46;0.9989045;21:16:53;0.9949758;;;;21:16:46;31;334;21:16:46;0;21:16:46;0
21:16:47;0.9972195;21:16:54;10.035.781;;;;21:16:47;31;334;21:16:47;0;21:16:47;0
21:16:48;10.040.106;21:16:55;10.007.913;;;;21:16:48;31;334;21:16:48;0;21:16:48;0
21:16:49;0.9997561;21:16:56;10.005.319;;;;21:16:49;31;334;21:16:49;0;21:16:49;0
21:16:50;0.9988387;21:16:57;10.004.762;;;;21:16:50;31;334;21:16:50;0;21:16:50;0
21:16:51;10.002.702;21:16:58;0.999537;;;;21:16:51;31;334;21:16:51;0;21:16:51;0
21:16:52;0.9990157;21:16:59;10.005.057;;;;21:16:52;31;334;21:16:52;0;21:16:52;0
21:16:53;0.9966801;21:17:00;0.9864035;;;;21:16:53;31;253;21:16:53;0;21:16:53;0
21:16:54;10.023.706;21:17:01;10.117.557;;;;21:16:54;31;253;21:16:54;0;21:16:54;0
21:16:55;10.003.941;21:17:02;10.008.744;;;;21:16:55;31;253;21:16:55;0;21:16:55;0
21:16:56;10.007.367;21:17:03;10.006.206;;;;21:16:56;31;253;21:16:56;0;21:16:56;0
21:16:57;10.015.624;21:17:04;0.9994241;;;;21:16:57;31;253;21:16:57;0;21:16:57;0
21:16:58;0.9990088;21:17:05;0.9948345;;;;21:16:58;31;253;21:16:58;0;21:16:58;0
21:16:59;10.008.258;21:17:06;10.045.246;;;;21:16:59;31;253;21:16:59;0;21:16:59;0
21:17:00;10.003.753;21:17:07;10.003.317;;;;21:17:00;31;253;21:17:00;0;21:17:00;0
21:17:01;0.9997771;21:17:08;0.9998739;;;;21:17:01;31;253;21:17:01;0;21:17:01;0
21:17:02;10.004.046;21:17:09;10.006.303;;;;21:17:02;31;253;21:17:02;0;21:17:02;0
21:17:03;0.9997894;;;;;;21:17:03;31;253;21:17:03;0;21:17:03;0
21:17:04;0.9997547;;;;;;21:17:04;31;55;21:17:04;0;21:17:04;0
21:17:05;0.9999622;;;;;;21:17:05;31;55;21:17:05;0;21:17:05;0
21:17:06;0.9995119;;;;;;21:17:06;31;55;21:17:06;0;21:17:06;0
21:17:07;0.9986977;;;;;;21:17:07;31;55;21:17:07;0;21:17:07;0
21:17:08;10.011.586;;;;;;21:17:08;31;55;21:17:08;0;21:17:08;0
21:17:09;10.000.805;;;;;;21:17:09;31;55;21:17:09;0;21:17:09;0
21:17:10;0.9969765;;;;;;21:17:10;31;22;21:17:10;0;21:17:10;0
21:17:11;10.026.007;;;;;;21:17:11;31;22;21:17:11;0;21:17:11;0
21:17:12;0.9978232;;;;;;21:17:12;31;22;21:17:12;0;21:17:12;0
21:17:13;10.023.741;;;;;;21:17:13;31;22;21:17:13;0;21:17:13;0
21:17:14;1.000.889;;;;;;21:17:14;31;6;21:17:14;0;21:17:14;0
21:17:15;10.003.246;;;;;;21:17:15;31;6;21:17:15;0;21:17:15;0
21:17:16;0.999557;;;;;;21:17:16;31;1;21:17:16;0;21:17:16;0
21:17:17;0.9999793;;;;;;21:17:17;31;1;21:17:17;0;21:17:17;0
21:17:18;0.9999071;;;;;;21:17:18;31;1;21:17:18;0;21:17:18;0
21:17:19;0.9997106;;;;;;21:17:19;31;1;21:17:19;0;21:17:19;0
21:17:20;10.004.756;;;;;;21:17:20;31;1;21:17:20;0;21:17:20;0
21:17:21;0.9986414;;;;;;21:17:21;31;1;21:17:21;0;21:17:21;0
21:17:22;0.9956822;;;;;;21:17:22;31;0;21:17:22;0;21:17:22;0
21:17:23;0.9995155;;;;;;21:17:23;31;0;21:17:23;0;21:17:23;0
21:17:24;10.021.115;;;;;;21:17:24;31;0;21:17:24;0;21:17:24;0
21:17:25;100.289;;;;;;21:17:25;31;0;21:17:25;0;21:17:25;0
21:17:26;10.009.835;;;;;;21:17:26;31;0;21:17:26;0;21:17:26;0
21:17:27;0.999463;;;;;;21:17:27;31;0;21:17:27;0;21:17:27;0
21:17:28;0.9996764;;;;;;21:17:28;31;0;21:17:28;0;21:17:28;0
21:17:29;10.013.161;;;;;;21:17:29;31;0;21:17:29;0;21:17:29;0
21:17:30;10.004.214;;;;;;21:17:30;31;1;21:17:30;0;21:17:30;0
21:17:31;0.9985018;;;;;;21:17:31;31;1;21:17:31;0;21:17:31;0
21:17:32;0.9959044;;;;;;21:17:32;29;1;21:17:32;0;21:17:32;0
21:17:33;10.004.969;;;;;;21:17:33;29;1;21:17:33;0;21:17:33;0
21:17:34;10.027.509;;;;;;21:17:34;29;1;21:17:34;0;21:17:34;0
21:17:35;10.013.558;;;;;;21:17:35;29;1;21:17:35;0;21:17:35;0
21:17:36;10.000.438;;;;;;21:17:36;29;1;21:17:36;0;21:17:36;0
21:17:37;0.9975023;;;;;;21:17:37;29;1;21:17:37;0;21:17:37;0
21:17:38;10.012.443;;;;;;21:17:38;29;1;21:17:38;0;21:17:38;0
21:17:39;10.007.468;;;;;;21:17:39;29;1;21:17:39;0;21:17:39;0
21:17:40;10.006.977;;;;;;21:17:40;29;1;21:17:40;0;21:17:40;0
21:17:41;0.9990209;;;;;;21:17:41;29;1;21:17:41;0;21:17:41;0
21:17:42;10.005.529;;;;;;21:17:42;29;1;21:17:42;0;21:17:42;0
21:17:43;0.9986481;;;;;;21:17:43;29;1;21:17:43;0;21:17:43;0
21:17:44;0.9978187;;;;;;21:17:44;29;1;21:17:44;0;21:17:44;0
21:17:45;10.018.484;;;;;;21:17:45;29;1;21:17:45;0;21:17:45;0
21:17:46;10.003.419;;;;;;21:17:46;29;1;21:17:46;0;21:17:46;0
21:17:47;0.999141;;;;;;21:17:47;29;1;21:17:47;0;21:17:47;0
21:17:48;10.005.192;;;;;;21:17:48;29;1;21:17:48;0;21:17:48;0
21:17:49;0.9998723;;;;;;21:17:49;29;1;21:17:49;0;21:17:49;0
21:17:50;10.009.669;;;;;;21:17:50;29;1;21:17:50;0;21:17:50;0
21:17:51;10.005.693;;;;;;21:17:51;29;1;21:17:51;0;21:17:51;0
21:17:52;0.9994172;;;;;;21:17:52;29;2;21:17:52;0;21:17:52;0
21:17:53;10.010.049;;;;;;21:17:53;29;2;21:17:53;0;21:17:53;0
21:17:54;10.010.875;;;;;;21:17:54;27;2;21:17:54;0;21:17:54;0
21:17:55;0.9991768;;;;;;21:17:55;27;2;21:17:55;0;21:17:55;0
21:17:56;0.9979137;;;;;;21:17:56;27;2;21:17:56;0;21:17:56;0
21:17:57;10.003.113;;;;;;21:17:57;27;2;21:17:57;0;21:17:57;0
21:17:58;10.010.406;;;;;;21:17:58;27;2;21:17:58;0;21:17:58;0
21:17:59;0.9999455;;;;;;21:17:59;27;2;21:17:59;0;21:17:59;0
21:18:00;0.997985;;;;;;21:18:00;27;2;21:18:00;0;21:18:00;0
21:18:01;10.011.392;;;;;;21:18:01;27;2;21:18:01;0;21:18:01;0
21:18:02;10.009.129;;;;;;21:18:02;27;2;21:18:02;0;21:18:02;0
21:18:03;0.9999155;;;;;;21:18:03;27;3;21:18:03;0;21:18:03;0
21:18:04;10.005.122;;;;;;21:18:04;27;3;21:18:04;0;21:18:04;0
21:18:05;0.9996869;;;;;;21:18:05;27;3;21:18:05;0;21:18:05;0
21:18:06;0.9979541;;;;;;21:18:06;27;3;21:18:06;0;21:18:06;0
21:18:07;0.9957402;;;;;;21:18:07;27;3;21:18:07;0;21:18:07;0
