;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:28:01;0.9971106;09:28:01;5.000.006.791;09:28:01;43;0;09:28:01;21;302;09:28:01;0;09:28:01;0
09:28:02;0.9977553;09:28:02;4.999.989.846;09:28:02;43;0;09:28:02;21;302;09:28:02;0;09:28:02;0
09:28:03;10.052.368;09:28:03;5.190.017.537;09:28:03;43;0;09:28:03;21;302;09:28:03;0;09:28:03;0
09:28:04;0.9997884;09:28:04;4.940.020.014;09:28:04;43;0;09:28:04;21;302;09:28:04;0;09:28:04;0
09:28:05;0.9995708;09:28:05;5.060.005.299;09:28:05;43;0;09:28:05;21;302;09:28:05;0;09:28:05;0
09:28:06;10.017.785;09:28:06;5.129.988.511;09:28:06;43;0;09:28:06;21;302;09:28:06;0;09:28:06;0
09:28:07;0.9998511;09:28:07;5.240.008.969;09:28:07;43;0;09:28:07;21;302;09:28:07;0;09:28:07;0
09:28:08;0.9972381;09:28:08;5.210.002.768;09:28:08;43;0;09:28:08;21;302;09:28:08;0;09:28:08;0
09:28:09;0.9994096;09:28:09;5.220.001.052;09:28:09;43;0;09:28:09;21;302;09:28:09;0;09:28:09;0
09:28:10;10.008.563;09:28:10;5.190.007.992;09:28:10;43;0;09:28:10;21;302;09:28:10;0;09:28:10;0
;;09:28:11;4.979.957.894;09:28:11;43;0;09:28:11;21;302;09:28:11;0;09:28:11;0
;;09:28:12;4.989.967.383;09:28:12;43;0;09:28:12;21;208;09:28:12;0;09:28:12;0
;;09:28:13;4.940.025.614;09:28:13;43;0;09:28:13;21;208;09:28:13;0;09:28:13;0
;;09:28:14;5.150.031.359;09:28:14;43;0;09:28:14;21;208;09:28:14;0;09:28:14;0
;;09:28:15;4.940.017.407;09:28:15;43;0;09:28:15;21;208;09:28:15;0;09:28:15;0
;;09:28:16;4.979.970.045;09:28:16;43;0;09:28:16;21;208;09:28:16;0;09:28:16;0
;;09:28:17;4.919.973.918;09:28:17;43;0;09:28:17;21;208;09:28:17;0;09:28:17;0
;;09:28:18;5.020.000.656;09:28:18;43;0;09:28:18;21;208;09:28:18;0;09:28:18;0
;;09:28:19;5.250.017.965;09:28:19;43;0;09:28:19;21;208;09:28:19;0;09:28:19;0
;;09:28:20;5.170.020.937;09:28:20;43;0;09:28:20;21;208;09:28:20;0;09:28:20;0
;;09:28:21;4.969.988.429;09:28:21;43;0;09:28:21;21;208;09:28:21;0;09:28:21;0
;;09:28:22;5.190.005.324;09:28:22;43;0;09:28:22;21;208;09:28:22;0;09:28:22;0
;;09:28:23;5.250.019.724;09:28:23;43;0;09:28:23;21;208;09:28:23;0;09:28:23;0
;;09:28:24;500.999.451;09:28:24;43;0;09:28:24;21;208;09:28:24;0;09:28:24;0
;;09:28:25;5.079.934.844;09:28:25;43;0;09:28:25;21;109;09:28:25;0;09:28:25;0
;;09:28:26;5.000.005.728;09:28:26;43;0;09:28:26;21;109;09:28:26;0;09:28:26;0
;;09:28:27;5.230.046.163;09:28:27;43;0;09:28:27;21;109;09:28:27;0;09:28:27;0
;;09:28:28;4.949.973.215;09:28:28;43;0;09:28:28;21;109;09:28:28;0;09:28:28;0
;;09:28:29;5.059.980.953;09:28:29;43;0;09:28:29;21;109;09:28:29;0;09:28:29;0
;;09:28:30;5.239.989.349;09:28:30;43;0;09:28:30;21;109;09:28:30;0;09:28:30;0
;;09:28:31;5.229.997.383;09:28:31;43;0;09:28:31;21;109;09:28:31;0;09:28:31;0
;;09:28:32;2.970.029.116;09:28:32;43;0;09:28:32;21;109;09:28:32;0;09:28:32;0
;;09:28:33;2.830.001.655;09:28:33;43;0;09:28:33;21;109;09:28:33;0;09:28:33;0
;;09:28:34;1.529.986.001;09:28:34;41;0;09:28:34;21;109;09:28:34;0;09:28:34;0
;;09:28:35;10.003.962;09:28:35;43;0;09:28:35;21;109;09:28:35;0;09:28:35;0
;;09:28:36;10.017.175;09:28:36;43;0;09:28:36;21;109;09:28:36;0;09:28:36;0
;;09:28:37;10.020.677;09:28:37;43;0;09:28:37;21;109;09:28:37;0;09:28:37;0
;;09:28:38;10.006.082;09:28:38;43;0;09:28:38;21;109;09:28:38;0;09:28:38;0
;;09:28:39;10.013.715;09:28:39;43;0;09:28:39;21;109;;;09:28:39;0
;;09:28:40;0.9986314;09:28:40;43;0;09:28:40;21;109;;;09:28:40;0
;;09:28:41;0.9980865;09:28:41;43;0;09:28:41;21;76;;;09:28:41;0
;;09:28:42;10.011.064;09:28:42;43;0;09:28:42;21;76;;;09:28:42;0
;;09:28:43;0.999847;09:28:43;43;0;09:28:43;21;76;;;09:28:43;0
;;09:28:44;0.9986167;09:28:44;43;0;09:28:44;21;76;;;09:28:44;0
;;09:28:45;0.9994788;09:28:45;43;0;09:28:45;21;41;;;09:28:45;0
;;09:28:46;0.9991787;09:28:46;43;0;09:28:46;21;41;;;09:28:46;0
;;09:28:47;10.009.808;09:28:47;43;0;09:28:47;21;41;;;09:28:47;0
;;09:28:48;10.022.749;09:28:48;43;0;09:28:48;21;41;;;09:28:48;0
;;09:28:49;10.016.031;09:28:49;43;0;09:28:49;21;41;;;09:28:49;0
;;09:28:50;10.006.744;09:28:50;43;0;09:28:50;21;41;;;09:28:50;0
;;09:28:51;0.9936246;09:28:51;43;0;09:28:51;21;38;;;09:28:51;0
;;09:28:52;0.9988572;09:28:52;43;0;09:28:52;21;38;;;09:28:52;0
;;09:28:53;10.065.057;09:28:53;43;0;09:28:53;21;20;;;09:28:53;0
;;09:28:54;10.006.389;09:28:54;43;0;09:28:54;21;20;;;09:28:54;0
;;09:28:55;0.9992159;09:28:55;43;0;09:28:55;21;3;;;09:28:55;0
;;09:28:56;0.9978464;09:28:56;43;0;09:28:56;21;3;;;09:28:56;0
;;09:28:57;0.9991056;09:28:57;43;0;09:28:57;21;0;;;09:28:57;0
;;09:28:58;10.009.332;09:28:58;43;0;09:28:58;21;0;;;09:28:58;0
;;09:28:59;10.016.847;09:28:59;43;0;09:28:59;21;0;;;09:28:59;0
;;09:29:00;10.011.179;09:29:00;43;0;09:29:00;21;0;;;09:29:00;0
;;09:29:01;10.002.343;09:29:01;43;0;09:29:01;21;0;;;09:29:01;0
;;09:29:02;10.002.447;09:29:02;43;0;09:29:02;21;0;;;09:29:02;0
;;09:29:03;0.9979885;09:29:03;43;0;09:29:03;21;0;;;09:29:03;0
;;09:29:04;10.001.766;09:29:04;43;0;09:29:04;21;0;;;09:29:04;0
;;09:29:05;10.006.857;09:29:05;43;0;09:29:05;21;0;;;09:29:05;0
;;09:29:06;0.9992742;09:29:06;43;0;09:29:06;21;0;;;09:29:06;0
