;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:26:31;10.010.873;09:26:31;5.050.006.308;09:26:31;33;0;09:26:31;126;136;09:26:31;0;09:26:31;123.571.601
09:26:32;10.002.531;09:26:32;5.069.989.387;09:26:32;33;0;09:26:32;126;136;09:26:32;0;09:26:32;128.368.759
09:26:33;0.9980597;09:26:33;4.989.953.024;09:26:33;33;0;09:26:33;126;136;09:26:33;0;09:26:33;128.997.749
09:26:34;0.9998429;09:26:34;508.001.095;09:26:34;33;0;09:26:34;126;136;09:26:34;0;09:26:34;129.000.238
09:26:35;10.024.976;09:26:35;5.200.043.329;09:26:35;33;0;09:26:35;126;136;09:26:35;0;09:26:35;128.998.071
09:26:36;0.999908;09:26:36;50.699.827;09:26:36;33;0;09:26:36;126;136;09:26:36;0;09:26:36;12.936.672
09:26:37;0.9996652;09:26:37;5.099.969.903;09:26:37;33;0;09:26:37;191;136;09:26:37;0;09:26:37;129.267.591
09:26:38;10.001.715;09:26:38;5.039.936.112;09:26:38;33;0;09:26:38;191;136;09:26:38;0;09:26:38;125.796.915
09:26:39;0.9992838;09:26:39;5.249.959.238;09:26:39;33;0;09:26:39;191;136;09:26:39;0;09:26:39;124.202.898
09:26:40;0.9995816;09:26:40;4.970.077.611;09:26:40;33;0;09:26:40;191;136;09:26:40;0;09:26:40;131.299.039
09:26:41;10.000.813;09:26:41;518.001.641;09:26:41;33;0;09:26:41;191;136;09:26:41;0;09:26:41;134.431.121
09:26:42;0.9988731;09:26:42;5.260.003.102;09:26:42;33;0;09:26:42;191;160;09:26:42;0;09:26:42;12.963.463
09:26:43;0.9991884;09:26:43;5.250.060.442;09:26:43;33;0;09:26:43;191;160;09:26:43;0;09:26:43;129.001.405
09:26:44;0.9985639;09:26:44;5.049.953.303;09:26:44;33;0;09:26:44;191;160;09:26:44;0;09:26:44;128.999.035
09:26:45;10.008.298;09:26:45;5.099.987.751;09:26:45;33;0;09:26:45;191;160;09:26:45;0;09:26:45;129.002.707
09:26:46;10.031.044;09:26:46;519.003.823;09:26:46;33;0;09:26:46;191;160;09:26:46;0;09:26:46;128.635.544
09:26:47;0.9985731;09:26:47;5.129.956.479;09:26:47;33;0;09:26:47;191;160;09:26:47;0;09:26:47;128.731.669
09:26:48;0.9992733;09:26:48;4.949.988.429;09:26:48;33;0;09:26:48;191;160;09:26:48;0;09:26:48;127.428.221
09:26:49;10.011.994;09:26:49;5.240.051.664;09:26:49;33;0;09:26:49;132;250;09:26:49;0;09:26:49;12.593.621
09:26:50;100.089;09:26:50;5.040.020.774;09:26:50;33;0;09:26:50;132;250;09:26:50;0;09:26:50;128.063.537
09:26:51;0.9613024;09:26:51;5.209.972.159;09:26:51;33;0;09:26:51;132;250;09:26:51;0;09:26:51;1.222.663.396
09:26:52;0.9766605;09:26:52;4.969.997.033;09:26:52;33;0;09:26:52;132;250;09:26:52;0;09:26:52;124.673.412
09:26:53;10.619.669;09:26:53;4.940.017.519;09:26:53;33;0;09:26:53;132;250;09:26:53;0;09:26:53;129.895.033
09:26:54;0.9972615;09:26:54;5.010.002.797;09:26:54;32;0;09:26:54;132;250;09:26:54;0;09:26:54;128.737.027
09:26:55;0.9992647;09:26:55;4.999.976.723;09:26:55;33;0;09:26:55;113;250;09:26:55;0;09:26:55;129.266.653
09:26:56;10.004.666;09:26:56;5.199.969.742;09:26:56;33;0;09:26:56;113;250;09:26:56;0;09:26:56;128.732.692
09:26:57;0.9954492;09:26:57;5.220.019.742;09:26:57;33;0;09:26:57;113;250;09:26:57;0;09:26:57;129.264.541
09:26:58;0.9991833;09:26:58;5.010.016.332;09:26:58;33;0;09:26:58;113;250;09:26:58;0;09:26:58;126.531.523
09:26:59;1.003.705;09:26:59;5.230.013.462;09:26:59;33;0;09:26:59;113;250;09:26:59;0;09:26:59;126.938.233
09:27:00;0.9997569;09:27:00;5.210.007.814;09:27:00;33;0;09:27:00;113;250;09:27:00;0;09:27:00;131.265.743
09:27:01;10.001.078;09:27:01;4.979.952.178;09:27:01;33;0;09:27:01;113;325;09:27:01;0;09:27:01;129.999.658
09:27:02;10.020.698;09:27:02;4.979.983.954;09:27:02;33;0;09:27:02;113;325;09:27:02;0;09:27:02;129.999.786
09:27:03;1.002.918;09:27:03;4.980.019.816;09:27:03;33;0;09:27:03;113;325;09:27:03;0;09:27:03;12.963.245
09:27:04;0.9954735;09:27:04;5.169.999.085;09:27:04;33;0;09:27:04;113;325;09:27:04;0;09:27:04;129.000.133
09:27:05;0.9974111;09:27:05;4.960.027.987;09:27:05;33;0;09:27:05;113;325;09:27:05;0;09:27:05;129.000.249
09:27:06;10.064.147;09:27:06;5.009.922.572;09:27:06;33;0;09:27:06;113;325;09:27:06;0;09:27:06;129.000.304
09:27:07;10.002.256;09:27:07;5.179.995.583;09:27:07;33;0;09:27:07;113;325;09:27:07;0;09:27:07;128.999.822
09:27:08;10.000.029;09:27:08;512.008.753;09:27:08;33;0;09:27:08;113;325;09:27:08;0;09:27:08;126.797.073
09:27:09;10.004.247;09:27:09;5.000.003.084;09:27:09;33;0;09:27:09;113;325;09:27:09;0;09:27:09;125.203.559
09:27:10;0.9997879;09:27:10;5.200.007.002;09:27:10;33;0;09:27:10;113;325;09:27:10;0;09:27:10;129.733.204
09:27:11;0.9999338;09:27:11;5.069.975.506;09:27:11;33;0;09:27:11;113;325;09:27:11;0;09:27:11;127.328.905
09:27:12;0.9994736;09:27:12;5.150.003.181;09:27:12;33;0;09:27:12;113;325;09:27:12;0;09:27:12;1.221.020.451
09:27:13;10.000.369;09:27:13;501.000.082;09:27:13;33;0;09:27:13;113;383;09:27:13;0;09:27:13;125.835.323
09:27:14;0.9999998;09:27:14;5.230.000.275;09:27:14;33;0;09:27:14;113;383;09:27:14;0;09:27:14;12.900.076
09:27:15;0.9991217;09:27:15;5.139.985.288;09:27:15;33;0;09:27:15;113;383;09:27:15;0;09:27:15;129.371.448
09:27:16;10.000.922;09:27:16;5.200.004.499;09:27:16;33;0;09:27:16;56;383;09:27:16;0;09:27:16;129.262.165
09:27:17;10.002.035;09:27:17;4.940.009.934;09:27:17;33;0;09:27:17;56;383;09:27:17;0;09:27:17;128.364.576
09:27:18;0.9976036;09:27:18;5.039.970.501;09:27:18;33;0;09:27:18;56;383;09:27:18;0;09:27:18;126.798.104
09:27:19;0.9990262;09:27:19;5.250.024.388;09:27:19;33;0;09:27:19;56;383;09:27:19;0;09:27:19;125.202.282
09:27:20;10.006.147;09:27:20;4.970.026.325;09:27:20;33;0;09:27:20;56;383;09:27:20;0;09:27:20;129.732.642
09:27:21;0.9987047;09:27:21;5.089.972.916;09:27:21;33;0;09:27:21;56;383;09:27:21;0;09:27:21;131.368.545
09:27:22;10.044.103;09:27:22;4.929.985.515;09:27:22;33;0;09:27:22;56;433;09:27:22;0;09:27:22;130.899.701
09:27:23;0.9995494;09:27:23;5.070.013.476;09:27:23;33;0;09:27:23;56;433;09:27:23;0;09:27:23;129.367.035
09:27:24;0.9999329;09:27:24;5.130.003.164;09:27:24;33;0;09:27:24;56;433;09:27:24;0;09:27:24;130.000.307
09:27:25;0.9995207;09:27:25;5.260.001.612;09:27:25;33;0;09:27:25;56;433;09:27:25;0;09:27:25;129.998.443
09:27:26;10.008.842;09:27:26;5.189.971.702;09:27:26;33;0;09:27:26;56;433;09:27:26;0;09:27:26;129.265.909
09:27:27;0.9993355;09:27:27;5.100.000.185;09:27:27;33;0;09:27:27;56;433;09:27:27;0;09:27:27;128.734.426
09:27:28;0.9976844;09:27:28;5.160.037.627;09:27:28;33;0;09:27:28;56;433;09:27:28;0;09:27:28;127.063.158
09:27:29;0.9999784;09:27:29;5.019.977.808;09:27:29;33;0;09:27:29;56;433;09:27:29;0;09:27:29;126.039.733
09:27:30;10.018.771;09:27:30;5.230.008.004;09:27:30;33;0;09:27:30;56;433;09:27:30;0;09:27:30;130.428.771
09:27:31;0.9983886;09:27:31;5.029.977.285;09:27:31;33;0;09:27:31;56;433;09:27:31;0;09:27:31;126.734.581
09:27:32;10.007.396;09:27:32;5.009.996.385;09:27:32;33;0;09:27:32;56;433;09:27:32;0;09:27:32;125.430.047
