time,alloc,orphan,inuse,timewait
2022-10-02 16:29:08,33,0,14,1
2022-10-02 16:29:09,33,0,14,1
2022-10-02 16:29:10,33,0,14,1
2022-10-02 16:29:11,33,0,14,1
2022-10-02 16:29:12,33,0,14,1
2022-10-02 16:29:13,33,0,14,1
2022-10-02 16:29:14,33,0,14,1
2022-10-02 16:29:15,33,0,14,1
2022-10-02 16:29:16,33,0,14,1
2022-10-02 16:29:17,33,0,14,1
2022-10-02 16:29:18,33,0,14,1
2022-10-02 16:29:19,33,0,14,1
2022-10-02 16:29:20,33,0,14,1
2022-10-02 16:29:21,33,0,14,1
2022-10-02 16:29:22,33,0,14,1
2022-10-02 16:29:23,33,0,14,1
2022-10-02 16:29:24,33,0,14,1
2022-10-02 16:29:25,33,0,14,1
2022-10-02 16:29:26,33,0,14,1
2022-10-02 16:29:27,33,0,14,1
2022-10-02 16:29:28,33,0,14,1
2022-10-02 16:29:29,33,0,14,1
2022-10-02 16:29:30,33,0,14,1
2022-10-02 16:29:31,33,0,14,1
2022-10-02 16:29:32,33,0,14,1
2022-10-02 16:29:33,33,0,14,1
2022-10-02 16:29:34,33,0,14,1
2022-10-02 16:29:35,33,0,14,1
2022-10-02 16:29:36,33,0,14,1
2022-10-02 16:29:37,33,0,14,1
2022-10-02 16:29:38,33,0,14,1
2022-10-02 16:29:39,33,0,14,1
2022-10-02 16:29:40,33,0,14,1
2022-10-02 16:29:41,33,0,14,1
2022-10-02 16:29:42,33,0,14,1
2022-10-02 16:29:43,33,0,14,1
2022-10-02 16:29:44,33,0,14,1
2022-10-02 16:29:45,33,0,14,1
2022-10-02 16:29:46,33,0,14,1
2022-10-02 16:29:47,33,0,14,1
2022-10-02 16:29:48,33,0,14,1
2022-10-02 16:29:49,33,0,14,1
2022-10-02 16:29:50,33,0,14,1
2022-10-02 16:29:51,33,0,14,1
2022-10-02 16:29:52,33,0,14,1
2022-10-02 16:29:53,33,0,14,1
2022-10-02 16:29:54,33,0,14,1
2022-10-02 16:29:55,33,0,14,1
2022-10-02 16:29:56,33,0,14,1
2022-10-02 16:29:57,33,0,14,1
2022-10-02 16:29:58,33,0,14,0
2022-10-02 16:29:59,33,0,14,0
2022-10-02 16:30:00,33,0,14,0
2022-10-02 16:30:01,33,0,14,0
2022-10-02 16:30:02,33,0,14,0
2022-10-02 16:30:03,33,0,14,0
2022-10-02 16:30:04,33,0,14,0
2022-10-02 16:30:05,33,0,14,0
2022-10-02 16:30:06,33,0,14,0
2022-10-02 16:30:07,33,0,14,0
2022-10-02 16:30:08,33,0,14,0
2022-10-02 16:30:09,33,0,14,0
2022-10-02 16:30:10,33,0,14,0
2022-10-02 16:30:11,33,0,14,0
2022-10-02 16:30:12,33,0,14,0
2022-10-02 16:30:13,33,0,14,0
2022-10-02 16:30:14,33,0,14,0
2022-10-02 16:30:15,33,0,14,0
2022-10-02 16:30:16,33,0,14,0
2022-10-02 16:30:17,33,0,14,0
2022-10-02 16:30:18,33,0,14,0
2022-10-02 16:30:19,33,0,14,0
2022-10-02 16:30:20,33,0,14,0
2022-10-02 16:30:21,33,0,14,0
2022-10-02 16:30:22,33,0,14,0
2022-10-02 16:30:23,33,0,14,0
2022-10-02 16:30:24,33,0,14,0
2022-10-02 16:30:25,33,0,14,0
2022-10-02 16:30:26,33,0,14,0
2022-10-02 16:30:27,33,0,14,0
2022-10-02 16:30:28,33,0,14,0
2022-10-02 16:30:29,33,0,14,0
2022-10-02 16:30:30,33,0,14,0
2022-10-02 16:30:31,33,0,14,0
2022-10-02 16:30:32,33,0,14,0
2022-10-02 16:30:33,33,0,14,0
2022-10-02 16:30:34,33,0,14,0
2022-10-02 16:30:35,33,0,14,0
2022-10-02 16:30:36,33,0,14,0
2022-10-02 16:30:37,33,0,14,0
2022-10-02 16:30:38,31,0,14,1
2022-10-02 16:30:39,33,0,14,1
2022-10-02 16:30:40,33,0,14,1
2022-10-02 16:30:41,33,0,14,1
2022-10-02 16:30:42,33,0,14,1
2022-10-02 16:30:43,33,0,14,1
2022-10-02 16:30:44,33,0,14,1
2022-10-02 16:30:45,33,0,14,1
2022-10-02 16:30:46,33,0,14,1
2022-10-02 16:30:47,33,0,14,1
2022-10-02 16:30:48,33,0,14,1
2022-10-02 16:30:49,33,0,14,1
2022-10-02 16:30:50,33,0,14,1
2022-10-02 16:30:51,33,0,14,1
2022-10-02 16:30:52,33,0,14,1
2022-10-02 16:30:53,33,0,14,1
2022-10-02 16:30:54,33,0,14,1
2022-10-02 16:30:55,33,0,14,1
2022-10-02 16:30:56,33,0,14,1
2022-10-02 16:30:57,33,0,14,1
2022-10-02 16:30:58,33,0,14,1
2022-10-02 16:30:59,33,0,14,1
2022-10-02 16:31:00,33,0,14,1
2022-10-02 16:31:01,33,0,14,1
2022-10-02 16:31:02,33,0,14,1
2022-10-02 16:31:03,33,0,14,1
2022-10-02 16:31:04,33,0,14,1
2022-10-02 16:31:05,33,0,14,1
2022-10-02 16:31:06,33,0,14,1
2022-10-02 16:31:07,33,0,14,1
2022-10-02 16:31:08,33,0,14,1
2022-10-02 16:31:09,33,0,14,1
2022-10-02 16:31:10,33,0,14,1
2022-10-02 16:31:11,33,0,14,1
2022-10-02 16:31:12,33,0,14,1
2022-10-02 16:31:13,33,0,14,1
2022-10-02 16:31:14,33,0,14,1
2022-10-02 16:31:15,33,0,14,1
2022-10-02 16:31:16,33,0,14,1
2022-10-02 16:31:17,33,0,14,1
2022-10-02 16:31:18,33,0,14,1
2022-10-02 16:31:19,33,0,14,1
2022-10-02 16:31:20,33,0,14,1
2022-10-02 16:31:21,33,0,14,1
2022-10-02 16:31:22,33,0,14,1
2022-10-02 16:31:23,33,0,14,1
2022-10-02 16:31:24,33,0,14,1
2022-10-02 16:31:25,33,0,14,1
2022-10-02 16:31:26,33,0,14,1
2022-10-02 16:31:27,33,0,14,1
2022-10-02 16:31:28,33,0,14,1
2022-10-02 16:31:29,33,0,14,1
2022-10-02 16:31:30,33,0,14,1
2022-10-02 16:31:31,33,0,14,1
2022-10-02 16:31:32,33,0,14,1
2022-10-02 16:31:33,33,0,14,1
2022-10-02 16:31:34,33,0,14,1
2022-10-02 16:31:35,33,0,14,1
2022-10-02 16:31:36,33,0,14,1
2022-10-02 16:31:37,33,0,14,1
2022-10-02 16:31:38,33,0,14,1
