;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:48:06;10.000.128;08:48:06;5.040.000.102;08:48:06;27;0;08:48:06;106;302;08:48:06;0;08:48:06;143.364.457
08:48:07;1.002.754;08:48:07;5.150.029.981;08:48:07;27;0;08:48:07;106;302;08:48:07;0;08:48:07;14.253.536
08:48:08;0.9956544;08:48:08;4.990.010.611;08:48:08;27;0;08:48:08;106;302;08:48:08;0;08:48:08;140.000.633
08:48:09;0.9937166;08:48:09;5.020.025.717;08:48:09;27;0;08:48:09;106;302;08:48:09;0;08:48:09;139.997.296
08:48:10;10.014.906;08:48:10;5.269.999.631;08:48:10;27;0;08:48:10;106;302;08:48:10;0;08:48:10;140.001.821
08:48:11;10.055.543;08:48:11;5.109.977.554;08:48:11;27;0;08:48:11;51;302;08:48:11;0;08:48:11;140.003.203
08:48:12;10.032.405;08:48:12;5.129.980.014;08:48:12;27;0;08:48:12;51;302;08:48:12;0;08:48:12;13.999.708
08:48:13;10.006.394;08:48:13;5.340.027.136;08:48:13;27;0;08:48:13;51;302;08:48:13;0;08:48:13;1.399.998
08:48:14;0.994524;08:48:14;5.089.995.561;08:48:14;27;0;08:48:14;51;302;08:48:14;0;08:48:14;137.065.255
08:48:15;0.9929558;08:48:15;5.179.979.403;08:48:15;27;0;08:48:15;51;302;08:48:15;0;08:48:15;134.936.041
08:48:16;10.002.518;08:48:16;5.260.040.861;08:48:16;27;0;08:48:16;51;302;08:48:16;0;08:48:16;137.431.071
08:48:17;10.054.404;08:48:17;5.069.983.146;08:48:17;27;0;08:48:17;51;302;08:48:17;0;08:48:17;134.467.906
08:48:18;10.063.111;08:48:18;531.996.241;08:48:18;27;0;08:48:18;51;302;08:48:18;0;08:48:18;138.467.483
08:48:19;0.9997593;08:48:19;4.009.974.511;08:48:19;27;0;08:48:19;51;301;08:48:19;0;08:48:19;140.634.773
08:48:20;0.9971065;08:48:20;3.810.047.387;08:48:20;27;0;08:48:20;51;301;08:48:20;0;08:48:20;140.000.375
08:48:21;0.9993513;08:48:21;2.110.024.768;08:48:21;27;0;08:48:21;51;442;08:48:21;0;08:48:21;139.996.952
08:48:22;1.003.862;08:48:22;1.019.962.236;08:48:22;27;0;08:48:22;51;442;08:48:22;0;08:48:22;139.998.972
08:48:23;0.9964769;08:48:23;0.9972936;08:48:23;27;0;08:48:23;51;442;08:48:23;0;08:48:23;140.002.218
08:48:24;0.9986122;08:48:24;10.063.189;08:48:24;27;0;08:48:24;51;442;08:48:24;0;08:48:24;137.430.709
08:48:25;10.048.064;08:48:25;10.004.929;08:48:25;27;0;08:48:25;51;442;08:48:25;0;08:48:25;135.198.982
08:48:26;1.000.057;08:48:26;0.9989479;08:48:26;27;0;08:48:26;26;442;08:48:26;0;08:48:26;141.931.166
08:48:27;0.9999328;08:48:27;10.011.625;08:48:27;27;0;08:48:27;26;442;08:48:27;0;08:48:27;144.802.814
08:48:28;0.9994893;08:48:28;10.000.653;08:48:28;27;0;08:48:28;26;442;08:48:28;0;08:48:28;140.635.014
08:48:29;0.9997046;08:48:29;0.9941759;08:48:29;27;0;08:48:29;26;442;08:48:29;0;08:48:29;140.001.702
08:48:30;1.000.201;08:48:30;0.998339;08:48:30;27;0;08:48:30;26;442;08:48:30;0;08:48:30;140.367.298
08:48:31;0.9985457;08:48:31;10.081.355;08:48:31;27;0;08:48:31;26;442;08:48:31;0;08:48:31;140.633.076
08:48:32;10.002.504;08:48:32;0.9978256;08:48:32;27;0;08:48:32;26;442;08:48:32;0;08:48:32;139.999.072
08:48:33;10.008.937;08:48:33;0.9996312;08:48:33;27;0;08:48:33;26;442;08:48:33;0;08:48:33;139.633.565
08:48:34;0.9938537;08:48:34;0.9996538;08:48:34;27;0;08:48:34;26;442;08:48:34;0;08:48:34;136.797.659
08:48:35;10.000.882;08:48:35;0.9960949;08:48:35;27;0;08:48:35;26;442;08:48:35;0;08:48:35;137.037.719
08:48:36;10.041.665;08:48:36;10.029.941;08:48:36;27;0;08:48:36;26;442;08:48:36;0;08:48:36;140.695.872
08:48:37;0.9991154;08:48:37;10.021.741;08:48:37;27;0;08:48:37;26;442;08:48:37;0;08:48:37;133.899.562
08:48:38;10.033.254;08:48:38;0.9952645;08:48:38;27;0;08:48:38;26;442;08:48:38;0;08:48:38;134.201.404
08:48:39;0.9998601;08:48:39;0.9989313;08:48:39;27;0;08:48:39;26;442;08:48:39;0;08:48:39;139.099.321
08:48:40;0.995872;08:48:40;10.022.222;08:48:40;27;0;08:48:40;26;442;08:48:40;0;08:48:40;140.632.491
08:48:41;0.9968482;08:48:41;0.9964824;08:48:41;27;0;08:48:41;26;442;08:48:41;0;08:48:41;140.003.277
08:48:42;10.054.416;08:48:42;10.026.971;08:48:42;27;0;08:48:42;26;442;08:48:42;0;08:48:42;139.630.796
08:48:43;10.011.581;08:48:43;10.054.872;08:48:43;27;0;08:48:43;26;442;08:48:43;0;08:48:43;13.973.271
08:48:44;0.997566;08:48:44;0.998765;08:48:44;27;0;08:48:44;26;442;08:48:44;0;08:48:44;138.067.021
08:48:45;1.000.574;08:48:45;10.018.026;08:48:45;27;0;08:48:45;26;442;08:48:45;0;08:48:45;135.936.233
08:48:46;10.030.379;08:48:46;0.9995823;08:48:46;27;0;08:48:46;18;442;08:48:46;0;08:48:46;141.365.229
08:48:47;10.002.421;08:48:47;0.9940471;08:48:47;27;0;08:48:47;18;442;08:48:47;0;08:48:47;142.000.176
08:48:48;0.9957719;08:48:48;0.9953365;08:48:48;27;0;08:48:48;18;426;08:48:48;0;08:48:48;142.000.958
08:48:49;0.9970324;08:48:49;10.082.007;08:48:49;27;0;08:48:49;18;426;08:48:49;0;08:48:49;141.267.754
08:48:50;10.028.551;08:48:50;10.016.261;08:48:50;27;0;08:48:50;18;426;08:48:50;0;08:48:50;140.365.718
08:48:51;10.010.322;08:48:51;0.9991313;08:48:51;27;0;08:48:51;18;426;08:48:51;0;08:48:51;140.633.066
08:48:52;10.017.039;08:48:52;0.9969024;08:48:52;27;0;08:48:52;18;426;08:48:52;0;08:48:52;139.999.819
08:48:53;0.9992913;08:48:53;0.9956433;08:48:53;27;0;08:48:53;18;426;08:48:53;0;08:48:53;139.998.273
08:48:54;10.017.148;08:48:54;10.014.346;08:48:54;27;0;08:48:54;18;426;08:48:54;0;08:48:54;137.796.674
08:48:55;0.9993555;08:48:55;10.026.542;08:48:55;27;0;08:48:55;18;426;08:48:55;0;08:48:55;136.184.745
08:48:56;0.9951795;08:48:56;0.997093;08:48:56;27;0;08:48:56;18;426;08:48:56;0;08:48:56;140.751.583
08:48:57;10.002.517;08:48:57;10.061.676;08:48:57;27;0;08:48:57;18;426;08:48:57;0;08:48:57;138.332.751
08:48:58;10.061.869;08:48:58;0.9990949;08:48:58;27;0;08:48:58;18;426;08:48:58;0;08:48:58;0
08:48:59;0.999736;08:48:59;0.9964173;08:48:59;27;0;08:48:59;18;350;08:48:59;0;08:48:59;0
08:49:00;10.001.918;08:49:00;0.9998857;08:49:00;27;0;08:49:00;18;350;08:49:00;0;08:49:00;0
08:49:01;10.004.214;08:49:01;0.9972451;08:49:01;31;0;08:49:01;18;350;08:49:01;0;08:49:01;0
08:49:02;0.9995961;08:49:02;10.019.005;08:49:02;31;0;08:49:02;18;350;08:49:02;0;08:49:02;0
08:49:03;0.9990037;08:49:03;10.061.304;08:49:03;33;0;08:49:03;18;350;08:49:03;0;08:49:03;0
08:49:04;10.001.516;08:49:04;0.9975547;08:49:04;33;0;08:49:04;18;350;08:49:04;0;08:49:04;0
08:49:05;10.005.932;08:49:05;0.9913017;08:49:05;33;0;08:49:05;18;350;08:49:05;0;08:49:05;0
08:49:06;10.003.795;08:49:06;10.018.858;08:49:06;33;0;08:49:06;18;350;08:49:06;0;08:49:06;0
08:49:07;0.9996983;08:49:07;1.009.466;08:49:07;33;0;08:49:07;18;350;08:49:07;0;08:49:07;0
08:49:08;0.9990743;08:49:08;0.9988568;08:49:08;33;0;08:49:08;18;350;08:49:08;0;08:49:08;0
08:49:09;0.999862;08:49:09;0.997429;08:49:09;33;0;08:49:09;18;350;08:49:09;0;08:49:09;0
08:49:10;10.001.117;08:49:10;0.9996661;08:49:10;33;0;08:49:10;18;350;08:49:10;0;08:49:10;0
08:49:11;10.001.238;08:49:11;10.028.055;08:49:11;33;0;08:49:11;18;350;08:49:11;0;08:49:11;0
08:49:12;10.012.157;08:49:12;0.9979815;08:49:12;33;0;08:49:12;18;268;08:49:12;0;08:49:12;0
08:49:13;10.005.209;08:49:13;1.004.029;08:49:13;33;0;08:49:13;18;268;08:49:13;0;08:49:13;0
08:49:14;0.9991079;08:49:14;10.002.172;08:49:14;33;0;08:49:14;18;268;08:49:14;0;08:49:14;0
08:49:15;0.998962;08:49:15;10.002.782;08:49:15;33;0;08:49:15;18;268;08:49:15;0;08:49:15;0
