;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:52:34;0.9999236;09:52:34;0.9997353;09:52:34;28;0;09:52:34;21;1;09:52:34;0;09:52:34;0
09:52:35;10.014.501;09:52:35;10.010.803;09:52:35;28;0;09:52:35;21;1;09:52:35;0;09:52:35;0
09:52:36;0.9994075;09:52:36;0.9952166;09:52:36;28;0;09:52:36;21;1;09:52:36;0;09:52:36;0
09:52:37;10.000.343;09:52:37;0.9984929;09:52:37;29;0;09:52:37;21;1;09:52:37;0;09:52:37;0
09:52:38;0.9997753;09:52:38;10.072.653;09:52:38;30;0;09:52:38;21;1;09:52:38;0;09:52:38;0
09:52:39;10.000.742;09:52:39;0.9993103;09:52:39;30;0;09:52:39;21;1;09:52:39;0;09:52:39;0
09:52:40;10.003.243;09:52:40;0.9996014;09:52:40;28;0;09:52:40;21;1;09:52:40;0;09:52:40;0
09:52:41;0.9989173;09:52:41;10.005.026;09:52:41;28;0;09:52:41;21;1;09:52:41;0;09:52:41;0
09:52:42;0.9991772;09:52:42;10.001.926;09:52:42;30;0;09:52:42;21;1;09:52:42;0;09:52:42;0
09:52:43;10.014.414;09:52:43;0.9997389;09:52:43;30;0;09:52:43;21;1;09:52:43;0;09:52:43;0
09:52:44;10.003.352;09:52:44;0.9997834;09:52:44;28;0;09:52:44;21;1;09:52:44;0;09:52:44;0
09:52:45;56.350.421;09:52:45;10.001.654;09:52:45;100;0;09:52:45;21;1;09:52:45;3.288.462;09:52:45;0
09:52:46;56.450.411;09:52:46;0.9991287;09:52:46;228;0;09:52:46;21;1;09:52:46;16.807.657;09:52:46;0
09:52:47;114.765.193;09:52:47;0.9995373;09:52:47;350;0;09:52:47;21;1;09:52:47;2.454.871;09:52:47;0
09:52:48;59.997.652;09:52:48;510.012.567;09:52:48;550;0;09:52:48;380;1;09:52:48;0;09:52:48;137.999.083
09:52:49;10.001.611;09:52:49;509.995.227;09:52:49;548;0;09:52:49;378;1;09:52:49;0;09:52:49;1.439.996.481
09:52:50;10.002.219;09:52:50;4.009.994.347;09:52:50;550;0;09:52:50;379;1;09:52:50;0;09:52:50;1.379.951.322
09:52:51;0.9984438;09:52:51;5.430.016.161;09:52:51;550;0;09:52:51;379;1;09:52:51;0;09:52:51;1.500.064.599
09:52:52;0.9972187;09:52:52;5.139.993.426;09:52:52;552;0;09:52:52;377;1;09:52:52;0;09:52:52;1.499.996.439
09:52:53;0.9992711;09:52:53;4.819.994.549;09:52:53;550;0;09:52:53;380;1;09:52:53;0;09:52:53;1.469.994.668
09:52:54;0.9998808;09:52:54;5.630.010.044;09:52:54;550;0;09:52:54;378;1;09:52:54;0;09:52:54;1.359.987.681
09:52:55;0.9979166;09:52:55;5.299.999.403;09:52:55;551;0;09:52:55;377;1;09:52:55;0;09:52:55;1.490.020.394
09:52:56;0.999203;09:52:56;5.530.001.141;09:52:56;554;0;09:52:56;376;1;09:52:56;0;09:52:56;1.439.989.623
09:52:57;10.037.107;09:52:57;5.580.000.904;09:52:57;450;0;09:52:57;379;1;09:52:57;0;09:52:57;14.299.918
09:52:58;10.021.899;09:52:58;5.459.997.144;09:52:58;450;0;09:52:58;377;1;09:52:58;0;09:52:58;1.460.017.769
09:52:59;0.9996304;09:52:59;539.000.033;09:52:59;450;0;09:52:59;182;223;09:52:59;0;09:52:59;1.399.953.565
09:53:00;10.002.796;09:53:00;5.159.997.188;09:53:00;449;0;09:53:00;182;222;09:53:00;0;09:53:00;1.469.920.435
09:53:01;10.002.925;09:53:01;5.699.990.456;09:53:01;449;0;09:53:01;180;221;09:53:01;0;09:53:01;1.430.131.042
09:53:02;0.9988046;09:53:02;5.709.999.048;09:53:02;449;0;09:53:02;180;222;09:53:02;0;09:53:02;1.430.000.356
09:53:03;0.9994687;09:53:03;5.449.997.652;09:53:03;449;0;09:53:03;230;221;09:53:03;0;09:53:03;1.449.976.138
09:53:04;10.021.241;09:53:04;5.309.992.378;09:53:04;250;0;09:53:04;231;221;09:53:04;0;09:53:04;1.399.935.963
09:53:05;10.000.112;09:53:05;5.600.027.699;09:53:05;250;0;09:53:05;230;220;09:53:05;0;09:53:05;1.480.052.938
09:53:06;0.9986676;09:53:06;5.129.990.706;09:53:06;250;0;09:53:06;230;222;09:53:06;0;09:53:06;1.430.006.234
09:53:07;100.341;09:53:07;4.740.001.611;09:53:07;250;0;09:53:07;231;222;09:53:07;0;09:53:07;1.390.002.654
09:53:08;10.089.717;09:53:08;4.900.002.219;09:53:08;250;0;09:53:08;21;351;09:53:08;0;09:53:08;1.380.007.818
09:53:09;0.9987028;09:53:09;5.099.998.289;09:53:09;80;0;09:53:09;21;350;09:53:09;0;09:53:09;1.450.013.031
09:53:10;0.9969544;09:53:10;482.999.398;09:53:10;80;0;09:53:10;21;353;09:53:10;0;09:53:10;1.359.993.458
09:53:11;0.9984454;09:53:11;4.780.002.711;09:53:11;80;0;09:53:11;21;350;09:53:11;0;09:53:11;1.380.001.087
09:53:12;10.046.362;09:53:12;4.650.006.742;09:53:12;80;0;09:53:12;21;350;09:53:12;0;09:53:12;1.449.975.316
09:53:13;10.010.842;09:53:13;5.359.996;09:53:13;50;0;09:53:13;21;351;09:53:13;0;09:53:13;1.509.941.669
09:53:14;0.9993902;09:53:14;4.769.990.684;09:53:14;30;0;09:53:14;21;350;09:53:14;0;09:53:14;1.480.074.817
09:53:15;0.9996983;09:53:15;4.629.999.548;09:53:15;28;0;09:53:15;21;531;09:53:15;0;09:53:15;1.480.017.284
09:53:16;10.013.332;09:53:16;4.840.003.971;09:53:16;29;0;09:53:16;21;530;09:53:16;0;09:53:16;1.459.991.058
09:53:17;0.9989164;09:53:17;4.740.005.013;09:53:17;29;0;09:53:17;21;532;09:53:17;0;09:53:17;1.399.972.926
09:53:18;0.9992773;09:53:18;4.840.007.803;09:53:18;29;0;09:53:18;21;531;09:53:18;0;09:53:18;1.410.021.563
09:53:19;10.009.876;09:53:19;567.999.504;09:53:19;30;0;09:53:19;21;530;09:53:19;0;09:53:19;1.509.989.488
09:53:20;10.008.596;09:53:20;4.669.996.614;09:53:20;29;0;09:53:20;21;532;09:53:20;0;09:53:20;1.460.020.569
09:53:21;0.9982818;09:53:21;4.789.997.332;09:53:21;30;0;09:53:21;21;532;09:53:21;0;09:53:21;1.490.002.535
09:53:22;0.9992432;09:53:22;5.609.997.479;09:53:22;29;0;09:53:22;21;530;09:53:22;0;09:53:22;1.449.994.845
09:53:23;10.004.212;09:53:23;466.000.548;09:53:23;29;0;09:53:23;21;530;09:53:23;0;09:53:23;1.440.002.247
09:53:24;0.999588;09:53:24;5.489.999.337;09:53:24;29;0;09:53:24;21;530;09:53:24;0;09:53:24;1.370.004.215
09:53:25;10.030.356;09:53:25;5.670.008.211;09:53:25;29;0;09:53:25;21;530;09:53:25;0;09:53:25;1.479.997.678
09:53:26;0.9996166;09:53:26;5.449.993.676;09:53:26;28;0;09:53:26;21;530;09:53:26;0;09:53:26;1.410.002.878
09:53:27;0.9995402;09:53:27;4.840.000.706;09:53:27;30;0;09:53:27;21;531;09:53:27;0;09:53:27;136.999.559
09:53:28;0.9995571;09:53:28;4.980.003.912;09:53:28;30;0;09:53:28;21;530;09:53:28;0;09:53:28;1.409.999.926
09:53:29;0.9987631;09:53:29;544.999.941;09:53:29;30;0;09:53:29;21;531;09:53:29;0;09:53:29;1.440.000.532
09:53:30;0.9979155;09:53:30;5.319.999.719;09:53:30;28;0;09:53:30;21;530;09:53:30;0;09:53:30;1.369.998.346
09:53:31;10.000.039;09:53:31;5.309.999.747;09:53:31;30;0;09:53:31;21;532;09:53:31;0;09:53:31;1.510.003.423
